URL,URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,SERVER,CONTENT_LENGTH,WHOIS_COUNTRY,WHOIS_STATEPRO,WHOIS_REGDATE,WHOIS_UPDATED_DATE,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,Type
M0_109,16,7,iso-8859-1,nginx,263.0,None,None,10/10/2015 18:21,None,7,0,2,700,9,10,1153,832,9,2.0,1
B0_2314,16,6,UTF-8,Apache/2.4.10,15087.0,None,None,None,None,17,7,4,1230,17,19,1265,1230,17,0.0,0
B0_911,16,6,us-ascii,Microsoft-HTTPAPI/2.0,324.0,None,None,None,None,0,0,0,0,0,0,0,0,0,0.0,0
B0_113,17,6,ISO-8859-1,nginx,162.0,US,AK,7/10/1997 4:00,12/09/2013 0:45,31,22,3,3812,39,37,18784,4380,39,8.0,0
B0_403,17,6,UTF-8,None,124140.0,US,TX,12/05/1996 0:00,11/04/2017 0:00,57,2,5,4278,61,62,129889,4586,61,4.0,0
B0_462,18,6,iso-8859-1,Apache/2,345.0,US,CO,29/07/2002 0:00,1/07/2016 0:00,12,0,3,1189,14,13,8559,1327,14,2.0,0
B0_1128,19,6,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,FL,18/03/1997 0:00,19/03/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1102,20,6,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,CO,22/11/2016 0:00,23/11/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_22,20,7,utf-8,None,13716.0,GB,None,11/10/2002 0:00,6/10/2016 0:00,16,6,8,1492,20,20,2334,1784,20,4.0,0
B0_482,20,6,ISO-8859-1,nginx,3692.0,None,None,14/11/2002 0:00,19/04/2015 0:00,25,19,4,3946,35,29,16408,4746,35,10.0,0
B0_869,20,7,ISO-8859-1,Apache/2.2.15 (Red Hat),13054.0,None,None,None,None,0,0,0,0,0,0,0,0,0,0.0,0
M0_71,21,7,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,957.0,UK,None,16/07/2000 0:00,4/07/2015 0:00,7,0,1,717,11,10,1960,1011,11,4.0,1
M0_97,21,7,iso-8859-1,nginx,686.0,RU,Novosibirskaya obl.,25/05/2013 0:00,23/05/2016 0:00,6,0,2,603,8,9,1580,745,8,2.0,1
B0_2303,21,6,us-ascii,Microsoft-HTTPAPI/2.0,324.0,None,None,9/08/1999 0:00,10/02/2015 0:00,7,7,3,618,7,9,562,618,7,0.0,0
B0_584,21,6,utf-8,nginx,15025.0,None,None,None,None,13,1,5,1099,15,17,15476,1243,15,2.0,0
M0_69,22,7,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,CO,15/09/2013 0:00,25/02/2017 0:00,9,0,4,850,11,9,1354,994,11,2.0,1
B0_2122,22,6,iso-8859-1,nginx,318.0,US,Tennessee,2/11/2003 0:00,29/06/2015 0:00,8,6,6,696,8,10,636,696,8,0.0,0
B0_2176,22,6,iso-8859-1,Apache/2.2.22,224.0,None,None,12/08/2008 22:10,13/07/2016 17:36,4,3,2,420,4,6,372,420,4,0.0,0
B0_569,22,7,utf-8,Apache/2.4.7 (Ubuntu),4421.0,AU,Vi,21/05/2009 0:00,15/05/2016 0:00,12,0,2,2259,16,12,5165,2559,16,4.0,0
B0_884,22,6,ISO-8859-1,Apache,441.0,US,OR,13/01/2005 0:00,2/03/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_916,22,6,utf-8,nginx,6671.0,CA,ALBERTA,4/01/2001 0:00,3/03/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1130,23,6,iso-8859-1,Apache/2.4.12 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,434.0,PA,PANAMA,8/12/2006 0:00,14/12/2015 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1185,23,6,us-ascii,Microsoft-HTTPAPI/2.0,324.0,se,None,16/06/2000 0:00,18/05/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_1369,23,6,utf-8,nginx,13001.0,None,None,None,None,0,0,0,0,0,0,0,0,0,0.0,0
B0_1412,23,7,ISO-8859-1,Oracle-iPlanet-Web-Server/7.0,3257.0,None,None,13/10/2000 0:00,27/04/2017 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_2217,23,6,ISO-8859-1,None,6748.0,US,Arizona,31/12/1999 0:00,9/04/2017 0:00,7,4,5,630,7,4,244,630,7,0.0,0
B0_614,23,6,iso-8859-1,Apache,240.0,US,CA,17/05/2008 0:00,18/05/2016 0:00,8,0,2,723,10,11,1837,871,10,2.0,0
B0_622,23,6,ISO-8859-1,Apache,3985.0,CA,AB,30/05/2002 0:00,31/05/2016 0:00,40,17,16,3285,46,45,12003,3729,46,6.0,0
B0_790,23,6,us-ascii,Microsoft-HTTPAPI/2.0,324.0,None,None,20/10/2005 0:00,30/09/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
M0_175,24,8,ISO-8859-1,nginx/1.6.2,6173.0,None,None,None,None,2,0,1,132,2,5,318,132,2,0.0,1
M0_89,24,9,iso-8859-1,Apache,319.0,IN,Tamil Nadu,None,None,7,0,2,720,9,10,1269,868,9,2.0,1
B0_126,24,6,ISO-8859-1,None,34.0,US,VA,5/03/1996 5:00,27/05/2016 14:46,65,3,5,6286,69,75,90508,6596,69,4.0,0
B0_2301,24,6,utf-8,Heptu web server,1778.0,None,None,10/01/1998 0:00,11/11/2012 0:00,7,7,3,618,7,9,562,618,7,0.0,0
B0_2315,24,6,us-ascii,Microsoft-HTTPAPI/2.0,324.0,CA,quebec,7/04/2011 0:00,8/04/2017 0:00,6,4,4,564,6,8,508,564,6,0.0,0
B0_282,24,8,iso-8859-1,Apache/2.2.22,224.0,US,MA,26/02/2009 0:00,6/01/2017 0:00,19,2,4,2131,23,23,9471,2441,23,4.0,0
B0_326,24,7,iso-8859-1,Apache,318.0,None,None,None,None,21,1,8,1606,25,13,1276,1914,25,4.0,0
B0_543,24,6,iso-8859-1,Apache/2,345.0,US,New Mexico,4/07/2007 0:00,5/07/2016 0:00,19,5,9,1390,21,25,3890,1540,21,2.0,0
B0_656,24,6,UTF-8,Apache,756.0,PA,PANAMA,2/07/1998 0:00,6/02/2017 0:00,23,3,15,2485,27,28,9332,2799,27,4.0,0
B0_1347,25,6,UTF-8,nginx,14839.0,US,NY,15/12/2004 0:00,13/11/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_2127,25,6,us-ascii,Microsoft-IIS/7.5,324.0,US,Massachusetts,25/02/2008 0:00,26/02/2017 0:00,5,2,4,474,5,4,250,474,5,0.0,0
B0_568,25,6,UTF-8,nginx,658.0,None,None,None,None,11,3,4,1232,15,16,9806,1530,15,4.0,0
B0_781,25,6,UTF-8,Apache,195.0,GB,WEST MIDLANDS,16/07/2016 0:00,22/12/2016 0:00,0,0,0,0,0,0,0,0,0,0.0,0
B0_786,25,6,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,CO,27/11/2016 19:09,1/02/2017 0:01,0,0,0,0,0,0,0,0,0,0.0,0
